Trimestre,Nome,Data,Freguesia,Concelho,Distrito,Descrição
1º trimestre,Festa de Nossa Senhora das Candeias,02-06-2024,Mourão,Mourão,Évora,"a parte profana inclui corrida de touros, um dos quais, o touro de Nossa Senhora, será morto depois de lidado e servirá para a refeição comunitária que tem lugar no arraial, montado no jardim. Feriado municipal."
1º trimestre,actuação das “brincas”,Carnaval,Évora,Évora,Évora,grupos músico-teatrais que percorrem localidades ao redor: correspondentes às cègadas e às contradanças de entrudo
1º trimestre,carnaval com actuação das contradanças,Moura,Amereleja,,,
1º trimestre,carnaval com actuação de contradanças,Mourão,Granja,Mourão,Évora,
1º trimestre,carnaval,,Sines,Sines,Setúbal,
1º trimestre,entrudo,,Castelo de Vide,Castelo de Vide,Portalegre,
1º trimestre,bênção do gado e cortejo da aleluia com campainhas e chocalhos pela ruas,sábado de Aleluia,Castelo de Vide,Castelo de Vide,Portalegre,após a missa
2º trimestre,Procissão de Ramos,Domingo de Ramos,Castelo de Vide,Castelo de Vide,Portalegre,
2º trimestre,após a missa de aleluia,Sábado de Aleluia,Castelo de Vide,Castelo de Vide,Portalegre,à noite: o povo percorre as ruas tocando campainhas e chocalhos: com acompanhamento de banda filarmónica
2º trimestre,Romaria da Senhora de Guadalupe,Domingo de Páscoa,Serpa,Serpa,Beja,procissão de S. Gens em direcção à vila. Cortejo etnográfico. 2ª feira: procissão de regresso à capela de S. Gens
2º trimestre,Romaria da Senhora dos Prazeres,Domingo de Pascoela,Nisa,Nisa,Portalegre,
2º trimestre,Romaria da Senhora da Boa Nova,Domingo de Pascoela,Terena,Alandroal,Évora,
2º trimestre,Romaria da Senhora de Aires,02-06-2024,Viana do Alentejo,Viana do Alentejo,Évora,
2º trimestre,Festa das Cruzes,03-06-2024,Aldeia Nova de S. Bento,Serpa,Beja,"Dentro de casa, na divisão que dá para a rua, é colocada a Santa Cruz e aí se reúnem as famílias rezando e entoando cânticos religiosos: Grupos corais percorrem as ruas cantando e “visitando as cruzes”."
2º trimestre,Festa da Santa Cruz,03-06-2024,Barrada,Reguengos de Monsaraz,Évora,
2º trimestre,Romaria do Senhor dos Aflitos,03-06-2024,Fortios,Portalegre,Portalegre,"Depois da procissão, leilão das fogaças de oferendas"
2º trimestre,Festas de Santo António,13-06-2024,Reguengos de Monsaraz,Reguengos de Monsaraz,Évora,Procissão e arraial: Baile em redor das fogueiras.
2º trimestre,Festa de São João,24-06-2024,Castelo de Vide,Castelo de Vide,Portalegre,João: Arraial em volta dos mastros floridos.
2º trimestre,Feira-festa de São João,24-06-2024,Évora,Évora,Évora,
3º trimestre,Festas da Rainha Santa Isabel,04-06-2024,Estremoz,Estremoz,Évora,
3º trimestre,Festa de Nossa Senhora do Rosário,primeiro domingo de Agosto,Tróia,Grândola,Setúbal,missa na capela em honra dos pescadores e marítimos; procissão com os barcos engalanados atravessando o rio Sado desde Setúbal a Tróia;
3º trimestre,Senhora das Brotas,segundo Domingo de Agosto,Brotas,Mora,Évora,
3º trimestre,Senhora da Neves,último Domingo de Agosto,Flor da Rosa,Crato,Portalegre,
3º trimestre,Festas de campo Maior ou Festas do Povo,primeiro domingo de Setembro,Campo Maior,Campo Maior,Portalegre,Ruas cobertas de flores de papel
3º trimestre,Romaria da Senhora da Cola,08-06-2024,Ourique,Ourique,Beja,"Cantos ao baldão, acompanhados à viola campaniça"
3º trimestre,Senhora dos Milagres,primeiro domingo de Setembro,Assumar,Monforte,Portalegre,
3º trimestre,Romaria do Senhor Jesus da Piedade,20-06-2024,Elvas,Elvas,Portalegre,
3º trimestre,Romaria da Senhora de Aires,último domingo de Setembro,Viana do Alentejo,Viana do Alentejo,Évora,
4º trimestre,Festa e feira de São Pedro,01-06-2024,Odemira,Odemira,Beja,
4º trimestre,Feira dos Santos,01-06-2024,Alvito,Alvito,Beja,
4º trimestre,Festa de Santo André,terceiro domingo de Novembro,Estremoz,Estremoz,Évora,
4º trimestre,Festa da Imaculada Conceição,08-06-2024,Vila Viçosa,Vila Viçosa,Évora,
4º trimestre,Festa de Nossa Senhora da Conceição,08-06-2024,Barrancos,Barrancos,Beja,"Na procissão, cantares em louvor de Nossa Senhora"
4º trimestre,Festa de Nossa Senhora da Conceição,08-06-2024,Alandroal,Alandroal,Évora,
4º trimestre,Fogueira de Natal,24-06-2024,Barrancos,Barrancos,Beja,
