Trimestre,Nome,Data,Freguesia,Concelho,Distrito,Descrição
1º trimestre,Cortejo dos Reis,06-01-2024,Talhadas,Sever do Vouga,Aveiro,com pequeno auto teatral e leilão das ofertas
1º trimestre,Festa de S. Gonçalinho (S. Gonçalo de Amarante,10-01-2024,Aveiro,,,"junto à capela e do alto da mesma, lançamento de cavacas ao povo. Dança dos mancos, pequena comédia interpretada por homens. Música e danças pelas ruas."
1º trimestre,Festas de Nossa São Brás:enhora da Purificação e de São Brás,04-02-2024,Vila Chã,Vale de Cambra,,"Brás: Procissão das velas dedicada à Senhora da Purificação ou Senhora das Candeias, devoção muito expandida pelo país, cujo dia é o 2 de Fevereiro: Feira de gastronomia e dos grelos."
1º trimestre,Romaria dos Santos Mártires,07-01-2024,Travassô,Águeda,Aveiro,"Procissão dos Nus, antigamente composta por fiéis amortalhados em cumprimento das suas promessas: No dia seguinte, nova procissão, em que as crianças passam por debaixo do andor de Santa Clara, para não se atrasarem no falar."
1º trimestre,Festa das Fogaceiras,20-01-2024,Santa Maria da Feira,Santa Maria da Feira,Aveiro,"importantíssima romaria celebrando S. Sebastião. Na procissão, meninas de branco levam as fogaças à cabeça."
1º trimestre,Festa de São Sebastião,20-01-2024,Avanca,Estarreja,Aveiro,
1º trimestre,cortejo muito concorrido,Carnaval,Vale de Ílhavo,Ílhavo,Aveiro,
1º trimestre,,,,,,"Góis, Carnaval"
1º trimestre,corso com escolas de samba,Carnaval,Ovar,Ovar,Aveiro,imitação do Carnaval brasileiro
1º trimestre,desfile com escolas de samba,Carnaval,Estarreja,,,Batalha de Flores
1º trimestre,Carnaval,Coimbra,Brasfemes,Coimbra,Coimbra,
1º trimestre,carnaval,,Aveiro,,,
1º trimestre,carnaval,,Estarreja,,,
1º trimestre,carnaval,Figueira da Foz,Buarcos,,,
1º trimestre,carnaval,,Mealhada,,,
1º trimestre,procissão dos passos,2º domingo da Quaresma,Ovar,Ovar,Aveiro,
2º trimestre,Queima do Judas,Sábado da Aleluia,Travassô,Águeda,Aveiro,com um entremês popular de sátira local
2º trimestre,Festa da Senhora da Graça,2ª feira de Páscoa,Assequins,Águeda,Aveiro,"Erguer do mastro ou pau, revestido de verduras, no adro da capela da Senhora da Graça, que aí permanecerá até à noite de S: João, em cuja noite será queimado: O mastro é um pinheiro dos mais altos que deverá, segundo a tradição, ser roubado dos pinhais pelos mancebos antes de cumprirem o serviço militar, promessa à santa para que voltem vivos da guerra: O “pau” é erguido da parte da tarde, após as merendas, com a ajuda de todos, ao som da banda filarmónica."
2º trimestre,Romaria das Almas da Areosa,Domingo de Pascoela,Aguada de Cima,Águeda,Aveiro,Procissão dos Romeiros em direcção à Igreja Matriz.
2º trimestre,Romaria de São Jorge,Cantanhede,Escapães,Sepins,Coimbra,
2º trimestre,Festa de Nossa Senhora dos Milagres,Domingo de Pascoela,Cernache,Coimbra,Coimbra,
2º trimestre,Festa da Senhora da Piedade,terceiro domingo depois da páscoa,Lousã,Lousã,Coimbra,Procissão solene entre o santuário e a Igreja Matriz: Procissão das velas: Cantares ao desafio ao som das concertinas.
2º trimestre,Festa da Rainha Santa Mafalda,02-05-2024,Arouca,Arouca,Aveiro,"Filha de D: Sancho I, é a padroeira de Arouca, pelo que se justifica que o sei dia seja o feriado municipal: Procissão solene."
2º trimestre,Festas de Santa Joana ou festas da cidade,12-05-2024,Aveiro,,,"Era filha de D: Afonso V e ficou conhecida pela sua extrema bondade: Procissão dos Irmãos de Santa Joana e missa solene na Sé: À tarde, procissão de Santa Joana com a irmandade vestida à época: Desfile de barcos moliceiros."
2º trimestre,Festa do Espírito Santo,Domingo do Espírito Santo,Espírito Santo,Soure,Coimbra,
2º trimestre,,,,,,"Santo António dos Olivais, Coimbra, Romaria do Espírito Santo. Importante romaria das Beiras, provavelmente proveniente dos antigos Impérios do Espírito Santo, ainda hoje pertinentes no arquipélago açoreano. Grande parque de diversões."
2º trimestre,Festas do Espírito Santo e Romaria de Nossa Senhora de Vagos. Romaria. Bodo da Senhora,Domingo do Espírito Santo (e segunda-feira),Vagos,Vagos,Aveiro,distribuição de pães bentos aos romeiros (pão de Cantanhede). Arraial no domingo e 2ª feira.
2º trimestre,Festa de São Sebastião,02-06-2024,Águeda,,,Sebastião.
2º trimestre,Festa de Santo António,13-06-2024,Vila Pouca,Cernache,Coimbra,"Os rapazes montam a cavalo, vão à vila em cavalhada “dar a volta” e regressam ao adro da igreja, onde os esperam as moças, namoradas e pretendidas: Distribuição dos bolos de festa, as “rosquilhas” e os “corações”."
2º trimestre,Festa de São João,24-06-2024,Praia da Tocha,Cantanhede,Coimbra,João: Banho santo.
2º trimestre,Feira anual de São João,24-06-2024,Lousã,Lousã,Coimbra,João: Feriado municipal.
2º trimestre,Festa de São João,24-06-2024,Figueira da Foz,,,João: Banho santo.
2º trimestre,Festa e feira de São Pedro,29-06-2024,Palhaça,Oliveira do Bairro,Viseu,Pedro.
3º trimestre,Festas da Rainha Santa,07-06-2024,Coimbra,,,"Procissão de penitência e procissão de Louvor: À saída da igreja, o andor que transporta a urna recebe uma chuva de pétalas de rosa, alusão ao célebre milagre das rosas: Parte profana com múltiplas manifestações de concertos musicais populares e espectáculos."
