Trimestre,Nome,Data,Freguesia,Concelho,Distrito,Descrição
1º trimestre,Festa do Menino Jesus,01-06-2024,Lalim,Lamego,Viseu,
1º trimestre,Festa dos Reis Magos,06-06-2024,Palhaça,Oliveira de Frades,Viseu,com auto popular
1º trimestre,Entrudo com mascarados (máscaras artesanais feitas localmente) e testamento,Lamego,Lazarim,Lamego,Viseu,"Cortejo com grupos instrumentais de animação de rua, por vezes gaiteiros espanhóis: Domingo, mas sobretudo Terça-feira Gorda: Neste dia, testamento e queima da comadre e do compadre."
1º trimestre,Carnaval,Carregal do Sal,Cabanas de Viriato,Carregal do Sal,Viseu,"dança dos cus, enorme cortejo, sempre com a mesma música, em duas filas, as quais, em determinada altura coreográfica, se aproximam e se tocam nos ditos."
1º trimestre,carnaval,Oliveira do Hospital,Lagares da Beira,Oliveira do Hospital,Coimbra,
2º trimestre,v,domingo de Lázaro,Lamego,Bairro da Ponte,Viseu,a rubrica “Engantchar” na Enciclopédia de Tradições Populares.
2º trimestre,Queima do Judas,Domingo de Páscoa,Lalim,Lamego,Viseu,antecedida pela leitura do testamento
2º trimestre,Romaria de São Cosme,02-06-2024,Sandomil,Seia,Guarda,"Cosme: No Domingo, bombos e pífaros pelas ruas: Na 2ª feira, romaria a caminho da capela, onde se merenda: À noitinha, regresso a Sandomil a pé, acabando na capela de S: Bento"
2º trimestre,Festa religiosa da Santa Cruz,03-06-2024,Meda,Meda,Guarda,Os pastores trazem os seus rebanhos e dão as três voltas rituais à capelinha
2º trimestre,Feira da Santa Cruz,03-06-2024,Lamego,Lamego,Viseu,"Inclui corrida de cavalos, designada por “passo-travadinho”"
2º trimestre,Romaria da Santa Cruz,03-06-2024,Sernancelhe,Sernancelhe,Viseu,Os pastores levam os seus rebanhos para a tradicional bênção do gado na altura da procissão
2º trimestre,Romaria do Senhor do Mundo,05-06-2024,Mortágua,Mortágua,Viseu,Arraial popular.
2º trimestre,Festa da Senhora da Saúde,05-06-2024,Pedro do Sul (Termas),,,A procissão dirige-se aos campos para a bênção dos campos e o povo apanha o raminho da espiga.
2º trimestre,Festa das Cruzes ou do Abraço,Tondela,Guardão,Caramulo,Viseu,"Cortejo de cruzes ornamentadas de flores e cobertas de jóias: As cruzes tocam-se simulando um abraço, em repetição de um lendário abraço das freguesias ao redor, para combaterem os romanos, que intentavam destruir a capela cristã: As cruzes integram a procissão, que se dirige aos campos para ser realizada a bênção dos campos."
2º trimestre,Festa do Divino Espírito Santo,Domingo do Espírito Santo,Poço do Canto,Meda,Guarda,"Da torre da igreja são lançados os “pãezinhos bentos” para o povo, que os recolhe."
2º trimestre,Romaria da Senhora da Lapa,Domingo do Espírito Santo,Quintela,Sernancelhe,Viseu,Um dos mais importantes santuários marianos: A passagem estreita do grande penedo é obrigatória para os romeiros no cumprimento das suas promessas.
2º trimestre,Romaria de Santo António dos Cabaços,13-06-2024,Serra dos Cabaços,Mangualde,Viseu,
2º trimestre,Cavalhada de Vil de Moinhos que se dirige a Viseu e se exibe junto à capela de São João,24-06-2024,Vil de Moinhos,Viseu,Viseu,"da Ribeira: Comemoração de uma vitorio no diferendo entre os moleiros da povoação sobre os agricultores de Viseu no séc: XVII: Regresso a Vil de Moinhos, nova cavalhada e arraial, com a queima do pinheiro."
2º trimestre,Feira de São João,24-06-2024,Guarda,Guarda,Guarda,João: Bailes populares em redor do mastro e das fogueiras de S: João.
3º trimestre,Romaria da Senhora das Preces,01-06-2024,Aldeia das Dez,Oliveira do Hospital,Coimbra,
3º trimestre,Romaria de São Macário,25-06-2024,Sul,S. Pedro do Sul,Viseu,
3º trimestre,Senhora do Castelo,15-06-2024,Vouzela,Vouzela,Viseu,
3º trimestre,Festa de Nossa Senhora do Mileu,Guarda (arredores da cidade),Póvoa do Mileu,Guarda,Guarda,Procissão das velas.
3º trimestre,Festa de Nossa Senhora dos Milagres,15-06-2024,Laceiras,Carregal do Sal,Viseu,"Missa e procissão: À tarde, feira anual."
3º trimestre,Romaria de Santa Maria de Aguiar,15-06-2024,Figueira de Castelo Rodrigo,Figueira de Castelo Rodrigo,Guarda,"Após a procissão, merendas pelo arraial."
3º trimestre,Festa do Senhor do Calvário,segundo domingo de Agosto,Gouveia,Gouveia,Guarda,Festival de folclore.
3º trimestre,Feira de São Mateus,mês de Agosto até meados de Setembro,Viseu,Viseu,Viseu,Mateus.
3º trimestre,Festas de São Lourenço,segundo domingo de Agosto,Celorico da Beira,Celorico da Beira,Guarda,Lourenço.
3º trimestre,Divino Senhor dos Aflitos,primeiro domingo de Setembro,Vilar Maior,Sabugal,Guarda,"Jogos populares, procissão das velas no sábado: No domingo, missa e procissão."
3º trimestre,Romaria da Senhora dos Remédios,08-06-2024,Lamego,Lamego,Viseu,"Procissão do Triunfo: Marcha Luminosa, outrora cortejo histórico e etnográfico (pena ter perdido importância a vertente etnográfica, de tão alto interesse como mostra das tradições populares locais): Noitada na avenida com concertinas, danças e cantares ao desafio."
3º trimestre,Romaria da Senhora do Castelo,08-06-2024,Mangualde,Mangualde,Viseu,"Tradição de hastear uma bandeira no alto da torre, que tem mais de trinta metros de altura."
3º trimestre,Feira de São Bartolomeu,24-06-2024,Trancoso,Trancoso,Guarda,Bartolomeu.
4º trimestre,Festa de São Martinho,11-06-2024,Vila Nova de Fozcoa,Vila Nova de Fozcoa,Guarda,Martinho: Cortejo com toque de latas e caldeiros: Rusga musical.
4º trimestre,São Martinho,11-06-2024,Pedro do Sul (termas),,,
4º trimestre,São Martinho,11-06-2024,Terrenho,Trancoso,,
4º trimestre,São Silvestre,31 de Dezembro,Vasconha de Queirã,Vouzela,Viseu,
