Trimestre,Nome,Data,Freguesia,Concelho,Distrito,Descrição
1º trimestre,Festa de São Sebastião,03-01-2024,Póvoa da Atalaia,Fundão,Castelo Branco,ou Festa das Papas: Na procissão integram-se duas filas de mulheres com açafates à cabeça levando as papas de carolo.
1º trimestre,Festa de São Sebastião,20-01-2024,Almaceda,Castelo Branco,Castelo Branco,
1º trimestre,Festa de São Sebastião,20-01-2024,S. Jorge da Beira,Covilhã,Castelo Branco,Sebastião: Bodo oferecido pelos mordomos.
1º trimestre,Festa de São Sebastião,20-01-2024,Janeiro de Baixo,Pampilhosa da Serra,Coimbra,"Sebastião, com bodo: Festa idêntica, também com bodo, noutras aldeias do concelho, como Cabril, Ponte de Fajão e Vidual."
1º trimestre,Festa de São Brás,03-02-2024,Forcalhos,Sabugal,Guarda,
2º trimestre,Procissão dos Penitentes,penúltima sexta-feira da Quaresma,Paúl,Covilhã,Castelo Branco,"Com as luzes da povoação apagadas, grupos de homens descalços envoltos em panos brancos arrastam correntes pelas ruas, em forma de suplício pessoal que os irmana aos padecimentos de Cristo a caminho do Gólgota: Entoam um cântico soturno."
2º trimestre,Quinta-Feira Santa,semana santa,Fundão,Fundão,Castelo Branco,"procissão com teatralização dos Mistérios da Paixão nas várias capelas do trajecto. Sexta-Feira Santa: procissão do Enterro do Senhor, à luz de archotes (as luzes da cidade estão apagadas) e ao som da fanfarra dos bombeiros e das matracas"
2º trimestre,Romaria da Senhora da Serra,2ª feira de Páscoa,Castelo Novo,Fundão,Castelo Branco,
2º trimestre,Romaria de Nossa Senhora do Incenso,segunda-feira de Páscoa,Penamacor,Penamacor,Castelo Branco,Missa seguida de procissão solene ao redor da capela: Merendas no arraial e convívio.
2º trimestre,Festa da Senhora da Consolação ou Festa do Bodo,2ª feira de Páscoa,Salvaterra do Extremo,Idanha-a-Nova,Castelo Branco,banquete com ensopado de carne para todos os presentes.
2º trimestre,Festa de Santa Catarina de Sena,segunda-feira de Páscoa,Ladoeiro,Castelo Branco,Castelo Branco,Missa campal e procissão: Corrida de touros.
2º trimestre,Romaria de Nossa Senhora da Granja,segunda-feira de Páscoa,Proença-a-Velha,Idanha-a-Nova,Castelo Branco,"ao longo da Quaresma acorrem muitos romeiros à ermida. Missa e procissão ao redor da ermida, seguida por refeição nos campos circundantes, e convívio com adufes, concertinas e ranchos folclóricos"
2º trimestre,Romaria de Nossa Senhora da Esperança,26-04-2024,Belmonte,Belmonte,Castelo Branco,"Na véspera à noite, procissão das velas: No dia de festa, missa e procissão: Segundo a tradição, a imagem de Nossa Senhora da Esperança terá acompanhado Pedro Álvares Cabral, natural de Belmonte, na descoberta do Brasil."
2º trimestre,Romaria de Nossa Senhora do Almortão,segunda-feira do terceiro domingo de páscoa,Idanha-a-Nova,Idanha-a-Nova,Castelo Branco,"Os ranchos das várias aldeias, à chegada ao santuário, dão três voltas à capela e cumprimentam Nossa Senhora tocando adufes no alpendre, virados para o altar: Impressionante procissão e missa campal: Merendas pelo arraial: Ao fim da tarde, a banda filarmónica toca a conhecida melodia à Senhora do Almortão ao redor da capela, seguida de muito povo e muito entusiasmo."
2º trimestre,feriado municipal na terça-feira),domingo terceiro de páscoa  (15 dias depois do domingo de páscoa,Castelo Branco,,,
2º trimestre,Festa da Santa Cruz ou do Castelo,03-05-2024,Monsanto,Idanha-a-Nova,Castelo Branco,"Além das festividades religiosas, realiza-se a tradicional subida ao castelo, em cortejo popular, tocando adufe e transportando as marafonas (bonecas de trapos, usadas em dias de trovoadas para as esconjurar), cestos com flores e um pote cheio de flores que é lançado do alto das muralhas, em comemoração de um cerco lendário que terá terminado após a população sitiada ter lançado do mesmo local uma vitela com o bucho cheio de trigo, indicando ao exército inimigo que ainda tinham muitos víveres armazenados: Convívio musical na alcáçova do castelo, com o rancho folclórico local: Missa e procissão."
2º trimestre,Romaria de S. Macário,domingo terceiro de páscoa,Alcaide,Fundão,Castelo Branco,a procissão sobe à capelinha em honra do santo protector do ouvido
2º trimestre,Festa da Senhora dos Altos Céus. Interessantes danças rituais,03-05-2024,Lousa,Castelo Branco,Castelo Branco,"dança da genebres, dança das tesouras, dança das virgens, resquícios das danças que outrora integravam as procissões religiosas, sobretudo a do Corpus Christi"
2º trimestre,Festa de Nossa Senhora dos Remédios,40 dias depois da Páscoa,Tortosendo,Covilhã,Castelo Branco,"Na véspera, procissão das velas: No domingo, nova procissão."
2º trimestre,Romaria de Santa Apolónia,quinto domingo depois de páscoa,Alcains,Castelo Branco,Castelo Branco,"procissão desde a igreja matriz até à ermida, onde se integram mulheres levando tabuleiros  com as oferendas para a santa."
2º trimestre,Romaria da Senhora da Póvoa,Domingo do Espírito Santo,Vale da Senhora da Póvoa,Penamacor,Castelo Branco,outrora um grande centro difusor do adufe
2º trimestre,Feira de São Tiago,07-06-2024,Covilhã,,,Gastronomia
