Trimestre,Nome,Data,Freguesia,Concelho,Distrito,Descrição
1º trimestre,Festa de São Gonçalo,ou no domingo seguinte,Vila Nova de Gaia,10 de Janeiro,Porto,
1º trimestre,Festa da Candelária,02-06-2024,Louredo,Santa Marta de Penaguião,Vila Real,"Cenário da Serra do Marão, por onde ressoam os acordes da tuna, uma das melhores tunas rurais ainda em actividade."
1º trimestre,Romaria de São Brás,03-06-2024,Santa Cruz do Bispo,Matosinhos,Porto,
1º trimestre,Festa das Fogaceiras,20-06-2024,Santa Maria da Feira,Santa Maria da Feira,Aveiro,"importantíssima romaria celebrando S. Sebastião. Na procissão, meninas de branco levam as fogaças à cabeça. Andores de S. Sebastião e de Nossa Senhora da Encarnação. As fogaças destinavam-se inicialmente a serem distribuídas pelos pobres. Desfile das fogaceiras."
1º trimestre,Enterro do João,terça-feira gorda,Ermesinde,Valongo,Porto,
1º trimestre,serração da velha e baile da pinhata,quarta-feira da terceira semana da Quaresma,Lousada,Meinedo,Porto,
2º trimestre,Senhor dos Passos,sábado e domingo de Lázaro,Melres,Gondomar,Porto,"há procissão nocturna no sábado, que é mais vistosa que a de domingo, porque todas as casas se iluminam com velas e lanternas. No monte sobranceiro ao rio Douro, acendem-se fogueiras, o que torna o cenário mais impressivo."
2º trimestre,procissão das lanternas (sábado à noite) e procissão dos Passos no domingo,sábado e domingo de Lázaro,Póvoa de Varzim,Póvoa de Varzim,Porto,"Na procissão de sábado, que é nocturna, as crianças seguem empunhando lanternas: A matraca, aqui chamada campanha, ressoa no escuro: Incorporam-se muitos penitentes encapuçados: A procissão de domingo é imponente pelo grande número de figuras bíblicas e anjinhos que nela tomam parte: O povo da Póvoa de Varzim tem grande fervor religioso."
2º trimestre,Procissão dos Passos,Felgueiras. domingo de Lázaro,Caramos,Felgueiras,Porto,
2º trimestre,Procissão dos Passos,domingo de Ramos,Rates,Póvoa de Varzim,Porto,
2º trimestre,Procissão das Endoenças,Quinta-feira Santa,Entre-os-Rios,Penafiel,Porto,"Ponte e trajecto iluminado com luminárias: Muito vistoso: Canto da Verónica em várias paragens e sermão do encontro: Procissão muito concorrida e com muita devoção: Atravessa o casario antigo até à beira do rio Douro, passando a subir o povo até ao alto, capela do Calvário, onde termina."
2º trimestre,procissão do Terro-Terro (nocturna,Semana Santa,Ovar,Ovar,Aveiro,à luz de archotes)
2º trimestre,Feira da Páscoa,Sexta-feira Santa,Vila do Conde,Vila do Conde,Porto,
2º trimestre,Procissão do Enterro,Sexta-Feira Santa,Póvoa de Varzim,Póvoa de Varzim,Porto,"Canta a Verónica e as “Marias do Aú”, assim chamadas porque o seu cântico, que sucede ao da Verónica, começa pela interjeição latina “Ehu! Ehu, Domine!”"
2º trimestre,Queima do Judas,sábado de Aleluia,Guilhabreu,Vila do Conde,Porto,"Boneco de palha queimado na fogueira, perante a animação popular: Antes da queima, é lido o testamento do Judas, que contém habitualmente alusões e críticas locais."
2º trimestre,Procissão da Ressurreição e à tarde compasso pascal pelas ruas,Domingo de Páscoa,Póvoa de Varzim,Póvoa de Varzim,Porto,"Nas ruas ainda se joga o tradicional jogo da pela: Na segunda-feira, Festa do Anjo."
2º trimestre,romaria de Santa Luzia,segunda-feira de Páscoa,Eja,Penafiel,Porto,no sopé do Monte Mozinho: conhecido sítio arqueológico
