Trimestre,Nome,Data,Freguesia,Concelho,Distrito,Descrição
1º trimestre,Cantar e pintar dos Bons Reis Magos,Cadaval,Pereiro,Vilar,Cadaval,"Com pequenas variantes, pinta-se e canta-se os Reis em todas as povoações do concelho do Cadaval e Alenquer que rodeiam a Serra do Montejunto"
1º trimestre,Festa de Santo Amaro,15-06-2024,Alfeizerão,Alcobaça,Leiria,
1º trimestre,Romaria de Santo Antão,17-06-2024,Óbidos,,,Arraial com cantares ao acordeão nas tendas de comes e bebes.
1º trimestre,Festa de São Sebastião,20-06-2024,Valado de Frades,Nazaré,Leiria,"Sebastião, por vezes chamada festa da chouriça, pelo leilão das oferendas em chouriços."
1º trimestre,Romaria de São Brás,03-06-2024,Pederneira,Nazaré,Leiria,"Brás, a que acorrem quase todos os nazarenos e nazarenas: Actuação de ranchos de “ensaiados”, grupos músico-coreográficos que se exibem entre o dia de Reis e o Carnaval, e que levam o nome de contradanças na maioria das regiões do país"
1º trimestre,grupos músico-coreográfico-teatrais (cègadas,Carnaval,Nazaré,,,
1º trimestre,Carnaval de Torres,,Torres Vedras,Torres Vedras,Lisboa,"Na sexta-feira, no largo da Estação, chegada dos bombos e desfile dos cabeçudos até ao centro da avenida principal (ultimamente junto ao Mercado), onde se realiza a solene abertura: Sábado à noite, corso nocturno e concurso de máscaras: Domingo Gordo, à tarde, corso pelas ruas principais da cidade, com carros alegóricos satirizando a política local, nacional e internacional, bem como figuras do desporto e do espectáculo: Segunda-feira à noite, corso nocturno: Terça-Feira de entrudo, à tarde, corso com as mesmas características de Domingo Gordo: Destaque para as matrafonas, homens travestidos de mulheres, na linha da tradição de mascarados por todo o país: Quarta-Feira à noite, enterro do entrudo, com cortejo, julgamento, leitura do testamento, morte pelo fogo do boneco simbolizando o entrudo, tudo terminando com fogo de artifício."
1º trimestre,Carnaval com actuação de cègadas,,Sesimbra,Sesimbra,Setúbal,
1º trimestre,Procissão da burrinha,04-06-2024,Mafra,Mafra,Lisboa,
1º trimestre,Enterro do bacalhau,sábado de Aleluia,Sesimbra,Sesimbra,Setúbal,
2º trimestre,Procissão dos Passos,Domingo de Ramos,Óbidos,,,que percorre as ruas do burgo medieval
2º trimestre,Procissão da Burrinha,Domingo de Ramos,Mafra,Mafra,Lisboa,"é uma procissão dos Passos do Senhor, com várias figurações bíblicas, entre as quais a cena da “Fuga para o Egipto”, donde provém o nome da procissão"
2º trimestre,círio dos marítimos à Senhora da Atalaia,Domingo de Páscoa,Alcochete,Alcochete,Santarém,"Gaiteiro, cortejo com carros de bois, carroças em direcção ao santuário: Leilão das bandeiras e fogaças."
2º trimestre,Festa do Senhor Jesus das Chagas,03-06-2024,Sesimbra,Sesimbra,Setúbal,Procissão dos pescadores com bênção do mar.
2º trimestre,Festa da Senhora da Gaiola ou Festa do Bodo,03-06-2024,Cortes,Leiria,Leiria,"As moças transportam à cabeça tabuleiros de oferendas, doces chamados “fradinhos do Menino Jesus”: Procissão de imagens do Menino Jesus, pertencentes a todas as famílias da freguesia."
2º trimestre,Festas da Cidade,15-06-2024,Caldas da Rainha,Caldas da Rainha,Leiria,"Missa na Igreja de Nossa senhora do Pópulo em honra da Rainha D: Leonor, fundadora e padroeira da cidade: Grande variedade de espectáculos e certames, como exposições de cerâmica, arte em que sempre se destacou a cidade de Caldas da Rainha."
2º trimestre,círio do Carregal,05-06-2024,Óbidos,Santuário do Senhor da Pedra,,Cavaleiro comanda a peregrinação transportando o guião: Loas cantadas pelo anjinho.
2º trimestre,Romaria de Santa Quitéria de Meca,02-05-2040,Meca,Alenquer,Lisboa,Bênção do gado em redor do cruzeiro.
2º trimestre,Círio da Nazaré a Nossa Senhora da Vitória,05-06-2024,Pataias,Alcobaça,Leiria,
2º trimestre,celebrações do dia da espiga com merenda no pinhal de Leiria,05-06-2024,Marinha Grande,Marinha Grande,Leiria,"Guarda-se a espiga em casa durante o ano, como é da tradição por todo o país: Carros enfeitados com verduras, como também faz parte da tradição geral."
2º trimestre,Festa de Nossa Senhora dos Prazeres,Domingo do Espírito Santo,Aldeiagalega da Merceana,Alenquer,Lisboa,Procissão com bênção das vinhas.
2º trimestre,Festa da Santíssima Trindade,Domingo da Santíssima Trindade,Batalha,Batalha,Leiria,"Cortejo e bênção dos tabuleiros de oferendas: Distribuição, ou melhor, lançamento dos merendeirinhos ao fiéis."
2º trimestre,Festas de Santo António,13-06-2024,Lisboa,,,"Marchas populares na Avenida da Liberdade: Tronos ao santo, sardinha assada e bailes nos bairros populares, sobretudo em Alfama, mas também no Bairro Alto, Bica, Mouraria, Graça e Costa do Castelo: Casamentos de Santo António"
2º trimestre,Festa de Santo António,13-06-2024,Rebolaria,Batalha,Leiria,O cortejo desce à vila e regressa ao adro da Rebolaria: Acompanhamento musical a cargo de uma pequena banda filarmónica.
2º trimestre,Festa de Santo António,13-06-2024,Cascais,Cascais,Lisboa,"procissão da Capela da Cidadela, onde se guarda a imagem do taumaturgo."
2º trimestre,Festa de S. João Baptista,24-06-2024,Runa,Torres Vedras,Lisboa,"arruadas, folclore, fogo de artifício."
2º trimestre,Festas de São Pedro,29-06-2024,Porto de Mós,Porto de Mós,Leiria,
2º trimestre,Feira de São Pedro,29-06-2024,Torres Vedras,Torres Vedras,Lisboa,
2º trimestre,Festas de São Pedro,29-06-2024,Montijo,Montijo,Santarém,Pedro: Procissão com bênção dos barcos: Bodo da sardinha assada: Largada e corridas de touros: Queima do batel.
2º trimestre,Feira Grande de São Pedro,29-06-2024,Sintra,,,Pedro.
3º trimestre,Círio da Senhora da Arrábida,primeiro fim-de-semana de Julho,Setúbal,,,
3º trimestre,Festa de Nossa Senhora do Cardal,último domingo de Julho,Pombal,Pombal,Leiria,ou Festa do Bodo
3º trimestre,Festas da Rainha Santa,último domingo de Julho,Monte Real,Leiria,Leiria,
3º trimestre,Festa de Santa Maria Madalena,22-06-2024,A dos Negros,Óbidos,Leiria,
3º trimestre,Festas do município,24-06-2024,Pedrógão Grande,,,
3º trimestre,Senhora das Neves,05-06-2024,Pragança,Cadaval,Lisboa,
3º trimestre,Romaria da Senhora do Socorro,05-06-2024,Enxara do Bispo,Mafra,Lisboa,na sua capelinha do alto da Serra do Socorro
3º trimestre,Festas de Nossa Senhora da Boa Viagem,primeiro Domingo de Agosto,Peniche,,,"Procissão no mar com bênção dos barcos: Domingo à tarde, solene procissão da festa."
3º trimestre,Festa de Nossa Senhora da Misericórdia,primeiro Domingo de Agosto,Belas,Sintra,Lisboa,missa e procissão pelas ruas da vila.
3º trimestre,Senhora da Vitória,15-06-2024,Batalha,Batalha,Leiria,
3º trimestre,Festa de Nossa Senhora da Assunção,15-06-2024,Cheleiros,Mafra,Lisboa,missa e procissão pelas ruas da aldeia
