Trimestre,Nome,Data,Freguesia,Concelho,Distrito,Descrição
1º trimestre,Festa de São Sebastião,20-01-2024,Gondiães,Cabeceiras de Basto,Braga,"Sebastião, santo contra a fome, a peste e a guerra: Procissão, bênção dos alimentos e bodo."
1º trimestre,Carnaval ou Enterro do Pai Velho,Ponte da Barca,Lindoso,Ponte da Barca,Viana do Castelo,"Realizam-se pequenos entremezes teatrais ao longo do trajecto: Bailes populares ao som de concertinas: Terça-feira Gorda à meia-noite, testamento e queima do Pai Velho."
1º trimestre,enterro do Arturinho,terça-feira gorda,Taipas,Guimarães,Braga,
2º trimestre,Procissão dos Passos,Domingo de Ramos,Tamel,Barcelos,Braga,com interesse especial devido às representações teatrais sobre a Paixão do Senhor
2º trimestre,Procissão dos Passos,Domingo de Ramos,Braga,,,
2º trimestre,Procissão dos Passos,Domingo de Ramos,Barcelos,,,
2º trimestre,auto do Enterro e crucifixação do Senhor,Domingo de Ramos,Vilarinho,Vila Verde,,com centenas de crianças representando figuras bíblicas
2º trimestre,Procissão dos Passos,Domingo de Ramos,Rates,Póvoa de Varzim,Porto,
2º trimestre,celebrações da Semana Santa de que se destacam a do Ecce Homo,semana santa,Braga,,,com farricocos empunhando archotes: a Procissão da Burrinha (quarta-feira) e a de Sexta-Feira Santa: ou do Enterro do Senhor
2º trimestre,Romaria do Bom Jesus de Fão,Domingo de Pascoela,Fão,Esposende,Braga,
2º trimestre,Romaria do Santo do Monte,Domingo de Pascoela,Louro,Famalicão,Braga,
2º trimestre,Romaria do Bom Jesus,segunda-feira de Pascoela,Não,Esposende,Braga,Festival de fanfarras.
2º trimestre,Romaria de Nossa Senhora da Cabeça,terça-feira de Pascoela,Cristelo Covo,Valença,Viana do Castelo,"Após o compasso pascal, cerimónia do Lanço da Cruz: Procissão no rio Minho até à banda de além, onde a esperam os devotos espanhóis."
2º trimestre,Festa das Cruzes,03-05-2024,Barcelos,,,Corrida de cavalos: Cortejo etnográfico: Batalha de flores: Fogo de artifício na ponte medieval sobre o rio Cávado
2º trimestre,ruas atapetadas de flores por onde passa a procissão,03-05-2024,Serzedelo,Guimarães,Braga,"No trajecto encontram-se levantadas 16 cruzes ornamentadas com flores, junto às quais se entoam cânticos religiosos"
2º trimestre,Festa da Senhora da Rosa,02-05-2024,Vila Franca do Lima,Viana do Castelo,Viana do Castelo,"Cortejo das rosas, em que as mordomas se apresentam ricamente vestidas à forma regional e transportando à cabeça monumentais cestos floridos, para oferecer a Nossa Senhora: O mesmo na procissão religiosa."
2º trimestre,Festa do Senhor dos Aflitos,03-05-2024,Nespereira,Guimarães,Braga,"Procissão do clamor, em que se entoam cânticos religiosos pedindo protecção para as colheitas."
2º trimestre,Romaria da Senhora do Amparo,03-05-2024,Cardielos,Viana do Castelo,Viana do Castelo,Arraial popular.
2º trimestre,Festa da Santa Cruz ou dos Andores Floridos,05-05-2024,Alvarães,Viana do Castelo,Viana do Castelo,"Os andores são ricamente ornamentados com flores, tal como as cruzes de granito por onde passa a procissão: Tapetes de flores pelos caminhos."
2º trimestre,Romaria de São Gonçalo,01-06-2024,Amarante,Amarante,Porto,"Gonçalo, santo considerado casamenteiro pelas moças casadoiras da região: Procissão solene: Arraial com exibição de grupos de Zés-Pereiras."
2º trimestre,peregrinação à Senhora do Sameiro,02-06-2024,Braga,,,
2º trimestre,Festa do Espírito Santo,Domingo do Espírito Santo,Barrosas,Felgueiras,Porto,"Cortejo de oferendas: Na 2ª feira, procissão integrando os cânticos religiosos denominados “clamores”."
2º trimestre,Romaria da Senhora da Encarnação,Domingo do Espírito Santo,Vila Mou,Viana do Castelo,Viana do Castelo,Procissão com o “coro das virgens”: Cortejo das mordomas com os seus trajos regionais: No cortejo e na procissão passam debaixo dos tradicionais arcos de romaria: Arraial festivo.
2º trimestre,Festa da Senhora da Rocha,Domingo da Santíssima Trindade,Nogueira,Viana do Castelo,Viana do Castelo,"Moças vestidas em trajos regionais: Na procissão, andor com um enorme bolo, posteriormente benzido e distribuído ao povo."
2º trimestre,Romaria de Santo António,13-06-2024,Mixões,Vila Verde,Braga,Arraial nocturno com fogueiras: Procissão: Os lavradores trazem os seus gados que dão as voltas rituais à capela do santo.
2º trimestre,Festa do Corpo de Deus,Dia do Corpo de Deus,Ponte de Lima,Ponte de Lima,Viana do Castelo,Pelas ruas é corrida a chamada vaca das cordas.
2º trimestre,Festas de Santo António,13-06-2024,Amares,Amares,Braga,
2º trimestre,Festas de Santo António,13-06-2024,Vila Verde,Alijó,Vila Real,
2º trimestre,Festas de Santo António,13-06-2024,Famalicão,Famalicão,Braga,"Na noite da véspera, marchas antoninas: Salto ritual das fogueiras de Santo António: Concurso de cascatas: Rusgas populares: Junto à capela do taumaturgo, depois da missa de festa, distribuição do pão bento de Santo António."
2º trimestre,Festa do Corpus Christi,Dia do Corpo de Deus,Monção,,,"Procissão que inclui o carro das ervas, o boi bento, o S: Jorge, que, no final, trava um combate com a Coca, dragão símbolo do Mal."
2º trimestre,Ronda da Lapinha,03-06-2024,Calvos,Guimarães,Braga,
2º trimestre,Festividades de São João,24-06-2024,Braga,,,João: Rusgas nocturnas pela cidade a caminho da capelinha de S: João: Carro e dança dos pastores: Carro das ervas: Dança do Rei David: Procissão no dia 24.
3º trimestre,Romaria de São Torcato,07-07-2024,Torcato,Guimarães,Braga,
3º trimestre,Romaria de São Bento,14-07-2024,Vizela,Guimarães,Braga,das Peras
3º trimestre,Romaria de São Bento,primeiro fim-de-semana de julho,Cossourado,Paredes de Coura,Viana do Castelo,da Porta Aberta: Cumprimento de promessas pelos tradicionais romeirinhos: Exibição de ranchos folclóricos e bandas filarmónicas.
3º trimestre,Romaria de Nossa Senhora de Antime,14-07-2024,Fafe,Fafe,Braga,
3º trimestre,Santa Maria Madalena ou Clamor da Roda,21-07-2024,Vale de Bouro,Celorico de Basto,Braga,
3º trimestre,Romaria da Senhora do Minho,21-07-2024,Alto da Serra de Arga,Viana do Castelo,Viana do Castelo,
3º trimestre,Festas do Senhor do Cruzeiro e das Necessidades,04-07-2024,Lanheses,Viana do Castelo,Viana do Castelo,
3º trimestre,Romaria de S. Bento da Porta Aberta,12-08-2024,Rio Caldo,Gerês,Braga,noitada festiva com baile popular no arraial e cantares ao desafio.
3º trimestre,Festa de Nossa Senhora das Neves,05-08-2024,Neves,Viana do Castelo,Viana do Castelo,"Procissão solene: Auto popular de Floripes ou Comédia do Imperador Carlos Magno e dos Doze Pares de França, de origem carolíngia."
3º trimestre,Festas Gualterianas,primeiro fim-de-semana de agosto,Guimarães,Guimarães,Braga,Gualter: Cortejo do linho e Batalha de Flores.
3º trimestre,procissão solene,segundo fim-de-semana de agosto: festa de santa rita de cássia,Caminha,Caminha,Viana do Castelo,"Arruadas de bombos e Zés-Pereiras: Desfile de trajos regionais: Sábado à noite, rusgas e bailes populares à concertina: Fogo de artifício."
3º trimestre,Romaria de Santa Marta de Portuzelo,segundo fim-de-semana de agosto,Santa Marta de Portuzelo,Viana do Castelo,Viana do Castelo,Arruadas com bombos e Zés-Pereiras: Cortejo etnográfico.
3º trimestre,Nossa Senhora das Dores,segundo fim-de-semana de agosto,Monção,,,Arruadas com bombos e gaitas-de-foles: Exibição de ranchos folclóricos: Procissão no domingo.
3º trimestre,Senhora do Amparo,segundo fim-de-semana de agosto,Apúlia,Esposende,Braga,
3º trimestre,Romaria de Nossa Senhora das Neves da Lagoa,08-06-2024,Lagoa,Fafe,Braga,
3º trimestre,Romaria da Senhora Aparecida,15-08-2024,Balugães,Barcelos,Braga,Cumprimento de promessas e procissão solene.
3º trimestre,Senhora das Dores,15-08-2024,Soajo,Arcos de Valdevez,Viana do Castelo,
3º trimestre,Senhora da Abadia,15-08-2024,Santa Maria de Bouro,Amares,Braga,Procissão solene.
3º trimestre,Romaria da Senhora da Agonia,20-08-2024,Viana do Castelo,,,"Procissão solene: Cortejo etnográfico: Bombos, gigantones, Zés-Pereiras: Desfile das mordomas, moças solteiras exibindo os seus ouros de família ao peito: Festa do Traje: Procissão no mar: Fogo de artifício no rio Lima."
3º trimestre,Romaria de São Bartolomeu,24-08-2024,Bartolomeu do Mar,Esposende,Braga,do Mar: Banho santo: Procissão na praia: Oferendas de galinhas pretas.
3º trimestre,Romaria de São Bartolomeu,24-08-2024,Ponte da Barca,Ponte da Barca,Viana do Castelo,Bartolomeu: Rusgas e bailes populares durante a noitada: Cantares ao desafio: Cortejo etnográfico.
3º trimestre,Romaria de São João,29-08-2024,Arga de S. João,Caminha,Viana do Castelo,"de Arga, comemorativa da morte do Santo Precursor: Rusgas populares, cantares ao desafio e bailes populares durante a noitada."
3º trimestre,Senhora da Guia,18-08-2024,Apúlia,Esposende,Braga,
3º trimestre,peregrinação estatutária à Senhora do Sameiro,25-08-2024,Braga,,,
3º trimestre,Festa de Santa Justa,25-08-2024,Negreiros,Barcelos,Braga,Tradição pitoresca
3º trimestre,Romaria da Senhora da Peneda,08-09-2024,Gavieira,Arcos de Valdevez,Viana do Castelo,Noitada com bailes populares ao som das concertinas: Procissão desce o monumental escadório e regressa ao santuário.
3º trimestre,Festa de Nossa Senhora da Bonança,segundo fim-de-semana de setembro,Vila Praia de Âncora,Caminha,Viana do Castelo,"Na quinta-feira de festa, procissão no mar até ao Forte da Ínsua: Domingo"
3º trimestre,Feiras Novas,20 de setembro (ultimamente segundo fim-de-semana de setembro),Ponte de Lima,Ponte de Lima,Viana do Castelo,"Rusgas, concertinas e cantares ao desafio pelas ruas do casco histórico: Feira de gado: Cortejo etnográfico: Corrida de cavalos."
3º trimestre,Festa de São Miguel,20-09-2024,Cabeceiras de Basto,Cabeceiras de Basto,Braga,ou Festa das Colheitas: Desfile de gigantones e Zés-Pereiras.
3º trimestre,Senhora da Saúde,01-09-2024,Lanhelas,Caminha,Viana do Castelo,Procissão solene: Especialidade gastronómica
3º trimestre,Senhora da Graça,01-09-2024,Mondim de Basto,Mondim de Basto,Vila Real,
3º trimestre,Romaria de Nossa Senhora do Porto de Ave,01-09-2024,Porto de Ave,Póvoa de Lanhoso,Braga,Procissão das velas.
