Trimestre,Nome,Data,Freguesia,Concelho,Distrito,Descrição
1º trimestre,Festa do Menino Jesus,01-01-2024,Vila Chã da Braciosa,Miranda do Douro,Bragança,"alvorada com gaiteiros, peditório com os mesmos acompanhando a Velha, o Bailador e a Bailadeira."
1º trimestre,Festa do Santo Menino,01-01-2024,Tó,Mogadouro,Bragança,gaiteiros e o Farandulo correndo as casas para tisnar as moças.
1º trimestre,Festa dos Reis Magos com gaiteiros,06-01-2024,Babe,Bragança,Bragança,
1º trimestre,Festa da Mocidade,06-01-2024,Rio de Onor,Bragança,Bragança,
1º trimestre,Festa dos Reis Magos,06-01-2024,Vale de Anta,Chaves,Vila Real,
1º trimestre,Festa dos Reis,06-01-2024,Vale de Salgueiro,Mirandela,Bragança,
1º trimestre,Festa de São Sebastião,20-01-2024,Alturas do Barroso,Boticas,Vila Real,"Sebastião, com missa, procissão e bodo de feijoada, cozinhada em potes de ferro, para todos os que aparecerem: As oferendas ao santo são constituídas essencialmente por enchidos: Festa com concertinas."
1º trimestre,Festa de São Sebastião,20-01-2024,Dornelas,Boticas,Vila Real,"Sebastião, com bodo na chamada mesinha de S: Sebastião"
1º trimestre,Festa de São Sebastião,20-01-2024,Gimonde,Bragança,Bragança,
1º trimestre,Festa de São Sebastião,20-01-2024,Paradela,Miranda do Douro,Bragança,
1º trimestre,Festa dos Compadres e comadres,quinta-feira anterior a domingo gordo,Pinhão,Alijó,Vila Real,
1º trimestre,Domingo Gordo,Macedo de Cavaleiros,Podence,Macedo de Cavaleiros,Bragança,Entrudo popular com caretos pelas ruas a chocalhar as moças.
1º trimestre,Enterro do Entrudo,terça-feira Gorda,Freixo de Espada à Cinta,Freixo de Espada à Cinta,Bragança,"Cortejo nocturno a cargo dos rapazes, que batem chocalhos e latas pelas ruas: No largo, queima do entrudo."
1º trimestre,serração da velha,quarta-feira da terceira semana da quaresma,Vilar de Perdizes,Montalegre,Vila Real,
2º trimestre,Festa de São Lázaro,Domingo de Lázaro (domingo anterior ao de Ramos),Vila Real,Vila Real,Vila Real,"As moças solteiras podem um bom casamento vestindo-se de forma semelhante à imagem do santo: A fita vermelha que pende do braço de S: Lázaro é passado pelo rosto dos crentes, pois o santo é protector contra as doenças de pele."
2º trimestre,Procissão dos Sete Passos,Sexta-feira Santa,Freixo de Espada à Cinta,Freixo de Espada à Cinta,Bragança,"Trata-se de uma procissão de penitentes, como também ocorre na Cova da Beira, em Lavacolhos e Enxabarda, concelho do Fundão: Homens encapuçados, arrastando correntes presas às pernas: Figura vestida de negro, a velhinha, traz vinho que distribui representando o sangue de Cristo: Em Domingo de Páscoa, após a procissão, queima do Judas."
2º trimestre,Festa de Nossa Senhora dos Prazeres,Domingo de Pascoela,Mateus,Vila Real,Vila Real,A missa celebra-se na capela do Palácio de Mateus: Seguem-se as tradicionais merendas.
2º trimestre,,,,,,"Vila Verde, Alijó, Festa do Corpo de Deus. Passadeiras de flores. Procissão integrando as cruzes e estandartes de todas as paróquias do concelho."
2º trimestre,Romaria de Santo António,13-06-2024,Coelhoso,Bragança,Bragança,
2º trimestre,Festa de Santo António ou da Carola,13-06-2024,Covas do Barroso,Boticas,Vila Real,"Festa religiosa e profana: Distribuição da carola (pão e vinho, previamente abençoados)."
2º trimestre,Feira de São Pedro,24-06-2024,Vila Real,Vila Real,Vila Real,"ou dos Pucarinhos, por haver muito pucarinhos de barro à venda, sobretudo os barros negros de Bisalhães: Estes barros servem para o conhecido jogo popular do panelo."
3º trimestre,Bom Jesus do Calvário,07-07-2024,Vila Real,Vila Real,Vila Real,Procissão solene.
3º trimestre,Senhora do Marão,14-07-2024,Teixeira,Baião,Porto,
3º trimestre,Senhora da Conceição,14-07-2024,Pinhão,Alijó,Vila Real,
3º trimestre,Senhora do Amparo,28-07-2024,Mirandela,Mirandela,Bragança,Missa de festa e procissão solene.
3º trimestre,Festa de Santa Ana,04-08-2024,Campeã,Vila Real,Vila Real,Procissão nocturna.
3º trimestre,Festas do Concelho,primeiro fim-de-semana de agosto,Montalegre,Montalegre,Vila Real,Corridas de cavalos: Encontro de concertinas: Procissão.
3º trimestre,Senhora do Nazo,11-08-2024,Póvoa,Miranda do Douro,Bragança,
3º trimestre,Senhora da Assunção,15-08-2024,Vinhais,Vinhais,Bragança,
3º trimestre,Senhora da Assunção,15-08-2024,Torre de Moncorvo,Torre de Moncorvo,Bragança,Procissão solene: Arraial e bailes populares.
3º trimestre,Senhora da Assunção,15-08-2024,Vilas Boas,Vila Flor,Bragança,
3º trimestre,Senhora do Salto,15-08-2024,Salto,Montalegre,Vila Real,
3º trimestre,Senhora do Castelo,15-08-2024,Algoso,Vimioso,Bragança,
3º trimestre,Festa de Nossa Senhora da Livração,18-08-2024,Boticas,Boticas,Vila Real,"No sábado, procissão: No domingo arraial e festival de folclore: Fogo de artifício."
3º trimestre,Festa de Santo António,18-08-2024,Montesinho,Bragança,Bragança,"Aldeia muito característica, com poucos habitantes: Festa com muita afluência."
3º trimestre,Nossa Senhora dos Aflitos,25-08-2024,Pegarinhos,Alijó,Vila Real,"Na procissão, os andores são quadros vivos representando cenas bíblicas, a cargo dos populares que se oferecem para o efeito."
3º trimestre,Senhora do Nazo,08-09-2024,Constantim,Miranda do Douro,Bragança,
3º trimestre,Senhora de Almodena,08-09-2024,Vila Real,Vila Real,Vila Real,Procissão no dia 7: Feira de gado.
3º trimestre,Romaria de Nossa Senhora dos Anúncios,12-09-2024,Vilarelho,Alfândega da Fé,Bragança,"Procissão, arraial, fogo de artifício."
3º trimestre,Senhora da Pena,08-09-2024,Mouçós,Vila Real,Vila Real,"A povoação gaba-se de apresentar na procissão o maior andor do mundo, com cerca de vinte metros de altura: O seu transporte durante a procissão tornou-se um espectáculo que atrai milhares de forasteiros: Corrida cavalos: Zés-Pereiras e bailes populares."
